raw_name,clean_name
AP,Andhra Pradesh
ANDRA PRADESH,Andhra Pradesh
ANDHRA PRADESH,Andhra Pradesh
AR,Arunachal Pradesh
AS,Assam
ASSAM,Assam
BR,Bihar
BIHAR,Bihar
CT,Chhattisgarh
CHHATTISGARH,Chhattisgarh
CHANDIGARH,Chandigarh
DD,Daman and Diu
DAMAN AND DIU,Daman and Diu
DAMAN & DIU,Daman and Diu
DL,Delhi
DELHI,Delhi
NCR,Delhi
GA,Goa
GOA,Goa
GJ,Gujarat
GUJARAT,Gujarat
GU,Gujarat
HR,Haryana
HARYANA,Haryana
HP,Himachal Pradesh
HIMACHAL PRADESH,Himachal Pradesh
JK,Jammu and Kashmir
J AND K,Jammu and Kashmir
JAMMU AND KASHMIR,Jammu and Kashmir
JAMMU & KASHMIR,Jammu and Kashmir
KASHMIR,Jammu and Kashmir
JH,Jharkhand
JHARKHAND,Jharkhand
KA,Karnataka
KARNATAKA,Karnataka
KL,Kerala
KERALA,Kerala
KERA,Kerala
MP,Madhya Pradesh
MADHYA PRADESH,Madhya Pradesh
MH,Maharashtra
MAHARASTRA,Maharashtra
MAHARASHTRA,Maharashtra
GAJANAN MAHARAJ TEMPLE MALKHED BK NER YAVATMAL MAHARASHTRA INDIA, Maharashtra
MN,Manipur
MANIPUR,Manipur
ML,Meghalaya
MEGHALAYA,Meghalaya
MZ,Mizoram
MIZORAM,Mizoram
NL,Nagaland
NAGALAND,Nagaland
OR,Odisha
ODHISA,Odisha
ODISHA,Odisha
PB,Punjab
PUNJAB,Punjab
PUNJAB,Punjab
"Punjab, India", Punjab
PY,Puducherry
PUDUCHERRY,Puducherry
RJ,Rajasthan
RAJASTHAN,Rajasthan
SK,Sikkim
SIKKIM,Sikkim
TN,Tamil Nadu
TAMIL NADU,Tamil Nadu
TAMILNADU,Tamil Nadu
தமிழ்நாடு,Tamil Nadu
TG,Telangana
TS,Telangana
TELANGANA,Telangana
TELANAGANA,Telangana
TELENGANA,Telangana
TR,Tripura
UP,Uttar Pradesh
UTTAR PRADESH,Uttar Pradesh
UK,Uttarakhand
UTTARAKHAND,Uttarakhand
WB,West Bengal
WEST BENGAL,West Bengal
None,Unknown
